time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-03-05T06:41:59.778Z,36.9053,-113.9557,15.4,1,ml,7,129.08,0.246,0.119,nn,nn00624259,2018-03-05T16:06:51.328Z,"2km WNW of Beaver Dam, Arizona",earthquake,,2.5,0.53,5,reviewed,nn,nn
2018-03-05T06:35:19.270Z,36.4869,-97.7619,3.87,2.7,mb_lg,,46,0.479,0.28,us,us2000dcb4,2018-03-05T18:44:31.104Z,"14km NE of Enid, Oklahoma",earthquake,1.1,4.9,0.077,44,reviewed,us,us
2018-03-05T06:32:57.380Z,63.3961,-147.573,12.5,1.2,ml,,,,0.54,ak,ak18587269,2018-03-05T06:36:58.602Z,"68km E of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-03-05T06:19:47.160Z,34.0383333,-116.7091667,11.26,0.54,ml,20,84,0.05083,0.14,ci,ci37888279,2018-03-05T06:23:31.135Z,"12km W of Morongo Valley, CA",earthquake,0.3,1.04,0.145,10,automatic,ci,ci
2018-03-05T06:09:52.254Z,61.5869,-148.2549,10.9,0.8,ml,,,,0.29,ak,ak18586943,2018-03-05T06:16:00.922Z,"36km E of Lazy Mountain, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-03-05T06:05:50.280Z,35.2794,22.1813,10,4.5,mb,,136,2.216,1.22,us,us2000dcay,2018-03-05T09:00:16.040Z,"130km W of Platanos, Greece",earthquake,8.7,2,0.11,24,reviewed,us,us
2018-03-05T06:02:37.340Z,-5.2826,154.1617,162.36,5,mb,,89,2.267,0.93,us,us2000dcax,2018-03-05T06:18:09.040Z,"154km SE of Taron, Papua New Guinea",earthquake,11.2,7,0.071,64,reviewed,us,us
2018-03-05T05:48:20.370Z,37.6650009,-118.9421692,6.76,0.95,md,12,105,0.002166,0.03,nc,nc72979266,2018-03-05T06:42:03.226Z,"4km NE of Mammoth Lakes, CA",earthquake,0.77,1,0.15,9,automatic,nc,nc
2018-03-05T05:44:16.410Z,-23.0523,-66.7203,207.24,4.5,mb,,51,1.347,1.29,us,us2000dcas,2018-03-05T07:47:51.040Z,"107km W of El Aguilar, Argentina",earthquake,6.2,7.8,0.096,32,reviewed,us,us
2018-03-05T05:41:32.220Z,38.8260002,-122.8056641,1.81,1.82,md,9,98,0.01974,0.03,nc,nc72979256,2018-03-05T06:14:02.156Z,"7km NW of The Geysers, CA",earthquake,0.35,1.69,0.15,9,automatic,nc,nc
2018-03-05T05:39:02.260Z,60.3436,-152.419,100.3,3.1,ml,,,,0.63,ak,ak18586891,2018-03-05T08:27:13.040Z,"23km SE of Redoubt Volcano, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-03-05T05:21:19.067Z,63.5479,-147.8908,0,2,ml,,,,0.73,ak,ak18586855,2018-03-05T05:34:46.575Z,"55km ENE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-03-05T05:19:54.320Z,34.063,-117.7853333,13.89,1.11,ml,11,153,0.03394,0.21,ci,ci37888271,2018-03-05T05:23:31.070Z,"3km W of Pomona, CA",earthquake,0.98,1.44,0.456,23,automatic,ci,ci
2018-03-05T05:09:41.400Z,33.509,-116.4528333,5.74,1.34,ml,45,82,0.02683,0.21,ci,ci37888263,2018-03-05T14:23:04.400Z,"21km ESE of Anza, CA",earthquake,0.22,0.51,0.133,26,reviewed,ci,ci
2018-03-05T04:52:45.370Z,33.5063333,-116.4545,5.61,1.91,ml,68,43,0.02947,0.2,ci,ci37888255,2018-03-05T05:06:06.332Z,"21km ESE of Anza, CA",earthquake,0.19,0.48,0.169,26,automatic,ci,ci
2018-03-05T04:45:03.568Z,39.8102,-119.0007,0,1.3,ml,11,198.87,0.312,0.1705,nn,nn00624254,2018-03-05T16:00:40.365Z,"31km NE of Fernley, Nevada",earthquake,,0,0.17,7,reviewed,nn,nn
